26.5,111.57,105.56,10.45
26.6,112.24,103.87,10.45
26.7,112.66,102.10,10.45
26.800001,112.83,100.30,10.45
26.9,112.74,98.48,10.45
27,112.40,96.70,10.45
27.1,111.81,94.98,10.45
27.2,110.99,93.37,10.45
27.300001,109.94,91.88,10.45
27.4,108.70,90.56,10.45
27.5,107.28,89.43,10.45
27.6,105.71,88.51,10.45
27.7,104.03,87.82,10.45
27.800001,102.27,87.37,10.45
27.9,100.47,87.17,10.45
28,98.65,87.24,10.45
28.1,96.86,87.55,10.45
28.2,95.14,88.12,10.45
28.300001,93.51,88.93,10.45
28.4,92.01,89.95,10.45
28.5,90.68,91.18,10.45
28.6,89.53,92.58,10.45
28.7,88.58,94.14,10.45
28.800001,87.87,95.81,10.45
28.9,87.40,97.56,10.45
29,87.18,99.36,10.45
29.1,87.22,101.18,10.45
29.2,87.51,102.97,10.45
29.300001,88.06,104.70,10.45
29.4,88.84,106.34,10.45
29.5,89.85,107.85,10.45
29.6,91.06,109.21,10.45
29.7,92.45,110.38,10.45
29.800001,93.99,111.34,10.45
29.9,95.65,112.07,10.45
30,97.39,112.57,10.45
30.1,99.19,112.81,10.45
30.2,101.01,112.79,10.45
30.300001,102.80,112.52,10.45
30.4,104.54,112.00,10.45
30.5,106.19,111.24,10.45
30.6,107.72,110.26,10.45
30.7,109.09,109.06,10.45
30.800001,110.27,107.69,10.45
30.9,111.26,106.16,10.45
31,112.01,104.51,10.45
31.1,112.53,102.77,10.45
31.2,112.80,100.98,10.45
31.300001,112.81,99.16,10.45
31.4,112.56,97.36,10.45
31.5,112.06,95.62,10.45
31.6,111.32,93.96,10.45
31.7,110.36,92.42,10.45
31.800001,109.18,91.04,10.45
31.9,107.83,89.83,10.45
32,106.31,88.83,10.45
32.100002,104.67,88.05,10.45
32.2,102.94,87.51,10.45
32.3,101.15,87.22,10.45
32.4,99.33,87.18,10.45
32.5,97.53,87.41,10.45
32.600002,95.78,87.88,10.45
32.7,94.11,88.60,10.45
32.8,92.56,89.54,10.45
32.9,91.16,90.70,10.45
33,89.93,92.04,10.45
33.100002,88.91,93.54,10.45
33.2,88.11,95.17,10.45
33.3,87.55,96.89,10.45
33.4,87.23,98.68,10.45
33.5,87.18,100.50,10.45
33.600002,87.37,102.30,10.45
33.7,87.83,104.06,10.45
33.8,88.52,105.74,10.45
33.9,89.45,107.30,10.45
34,90.58,108.72,10.45
34.100002,91.91,109.96,10.45
34.2,93.39,111.00,10.45
34.3,95.01,111.82,10.45
34.4,96.73,112.41,10.45
34.5,98.51,112.75,10.45
34.600002,100.33,112.83,10.45
34.7,102.13,112.66,10.45
34.8,103.90,112.23,10.45
34.9,105.59,111.55,10.45
35,107.16,110.65,10.45
35.100002,108.59,109.53,10.45
35.2,109.85,108.23,10.45
35.3,110.91,106.75,10.45
35.4,111.76,105.15,10.45
35.5,112.37,103.43,10.45
35.600002,112.73,101.66,10.45
35.7,112.83,99.84,10.45
35.8,112.68,98.03,10.45
35.9,112.28,96.26,10.45
36,111.63,94.57,10.45
36.100002,110.74,92.98,10.45
36.2,109.65,91.54,10.45
36.3,108.36,90.26,10.45
36.4,106.90,89.18,10.45
36.5,105.30,88.31,10.45
36.600002,103.60,87.68,10.45
36.7,101.82,87.30,10.45
36.8,100.01,87.17,10.45
36.9,98.20,87.29,10.45
37,96.43,87.67,10.45
37.100002,94.72,88.30,10.45
37.2,93.12,89.16,10.45
37.3,91.66,90.24,10.45
37.4,90.37,91.52,10.45
37.5,89.27,92.96,10.45
37.600002,88.38,94.54,10.45
37.7,87.73,96.24,10.45
37.8,87.32,98.01,10.45
37.9,87.17,99.82,10.45
38,87.27,101.63,10.45
38.100002,87.63,103.41,10.45
38.2,88.23,105.12,10.45
38.3,89.07,106.73,10.45
38.4,90.13,108.21,10.45
38.5,91.39,109.52,10.45
38.600002,92.82,110.64,10.45
38.7,94.39,111.54,10.45
38.8,96.08,112.22,10.45
38.9,97.84,112.65,10.45
39,99.65,112.83,10.45
39.100002,101.46,112.75,10.45
39.2,103.24,112.42,10.45
39.3,104.96,111.83,10.45
39.4,106.59,111.02,10.45
39.5,108.07,109.98,10.45
39.600002,109.40,108.74,10.45
39.7,110.54,107.32,10.45
39.8,111.47,105.76,10.45
